 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  79,   projectile: electron
 #  Kinetic energy = 6.00000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)        ERRF         ERRG 
 #-----------------------------------------------------------------------------------------------------------------
  6.250E-02  2.97478E-07  6.25420E-07  1.81881E-07  3.14344E-10  9.14199E-11  6.01614E-10  2.41926E-09
  6.500E-02  3.21752E-07  6.02995E-07  1.80443E-07  3.15196E-10  9.43250E-11  1.08708E-09  2.42096E-10
  6.750E-02  3.46978E-07  5.81473E-07  1.78985E-07  3.15636E-10  9.71612E-11  7.99523E-10  2.00288E-09
  7.000E-02  3.73156E-07  5.60822E-07  1.77509E-07  3.15702E-10  9.99287E-11  7.65682E-11  2.75673E-09
  7.250E-02  4.00286E-07  5.41012E-07  1.76017E-07  3.15427E-10  1.02628E-10  9.25027E-10  1.55666E-09
  7.500E-02  4.28368E-07  5.22011E-07  1.74511E-07  3.14844E-10  1.05259E-10  1.12996E-09  6.88195E-10
  7.750E-02  4.57402E-07  5.03788E-07  1.72994E-07  3.13981E-10  1.07822E-10  5.21651E-10  2.37567E-09
  8.000E-02  4.87388E-07  4.86312E-07  1.71468E-07  3.12867E-10  1.10318E-10  4.85696E-10  2.34471E-09
  8.250E-02  5.18325E-07  4.69552E-07  1.69933E-07  3.11525E-10  1.12747E-10  1.17453E-09  6.68290E-10
  8.500E-02  5.50215E-07  4.53479E-07  1.68393E-07  3.09978E-10  1.15111E-10  1.03401E-09  1.43319E-09
  8.750E-02  5.83057E-07  4.38064E-07  1.66849E-07  3.08248E-10  1.17410E-10  1.37724E-10  2.47407E-09
  9.000E-02  6.16850E-07  4.23278E-07  1.65301E-07  3.06353E-10  1.19644E-10  8.89544E-10  1.74818E-09
  9.250E-02  6.51596E-07  4.09094E-07  1.63752E-07  3.04312E-10  1.21816E-10  1.30628E-09  1.94911E-10
  9.500E-02  6.87293E-07  3.95487E-07  1.62204E-07  3.02142E-10  1.23925E-10  7.88625E-10  1.96203E-09
  9.750E-02  7.23942E-07  3.82431E-07  1.60656E-07  2.99856E-10  1.25973E-10  3.19834E-10  2.31099E-09
  1.000E-01  7.61543E-07  3.69902E-07  1.59111E-07  2.97469E-10  1.27960E-10  1.23440E-09  1.02063E-09
  1.250E-01  1.18991E-06  2.68960E-07  1.44000E-07  2.70367E-10  1.44760E-10  6.45551E-10  2.04150E-09
  1.500E-01  1.71347E-06  2.00611E-07  1.29932E-07  2.41992E-10  1.56743E-10  5.50146E-10  2.08307E-09
  1.750E-01  2.33223E-06  1.53040E-07  1.17186E-07  2.15376E-10  1.64928E-10  1.82746E-09  1.17349E-09
  2.000E-01  3.04617E-06  1.18854E-07  1.05782E-07  1.91162E-10  1.70148E-10  2.44429E-09  2.58115E-10
  2.250E-01  3.85531E-06  9.34718E-08  9.56283E-08  1.69129E-10  1.73043E-10  1.86082E-09  1.55216E-09
  2.500E-01  4.75964E-06  7.40615E-08  8.65910E-08  1.48898E-10  1.74101E-10  1.08397E-10  2.11345E-09
  2.750E-01  5.75916E-06  5.88634E-08  7.85364E-08  1.30176E-10  1.73698E-10  2.10986E-09  1.67822E-09
  3.000E-01  6.85388E-06  4.67597E-08  7.13439E-08  1.12809E-10  1.72136E-10  3.67791E-09  4.37261E-10
  3.250E-01  8.04378E-06  3.70137E-08  6.49100E-08  9.67371E-11  1.69665E-10  3.60522E-09  1.04011E-09
  3.500E-01  9.32888E-06  2.91158E-08  5.91466E-08  8.19482E-11  1.66493E-10  1.60194E-09  2.05753E-09
  3.750E-01  1.07092E-05  2.26948E-08  5.39786E-08  6.84372E-11  1.62800E-10  1.62384E-09  2.11489E-09
  4.000E-01  1.21846E-05  1.74673E-08  4.93406E-08  5.61837E-11  1.58734E-10  4.56994E-09  1.15498E-09
  4.250E-01  1.37553E-05  1.32099E-08  4.51752E-08  4.51438E-11  1.54418E-10  5.62360E-09  3.91376E-10
  4.500E-01  1.54212E-05  9.74251E-09  4.14310E-08  3.52508E-11  1.49951E-10  3.92203E-09  1.79575E-09
  4.750E-01  1.71822E-05  6.91827E-09  3.80621E-08  2.64204E-11  1.45412E-10  6.33814E-11  2.37553E-09
  5.000E-01  1.90385E-05  4.61713E-09  3.50269E-08  1.85578E-11  1.40860E-10  4.58383E-09  1.82699E-09
  5.250E-01  2.09899E-05  2.74096E-09  3.22886E-08  1.15640E-11  1.36341E-10  7.36723E-09  3.83928E-10
  5.500E-01  2.30365E-05  1.20977E-09  2.98137E-08  5.34173E-12  1.31887E-10  6.75031E-09  1.28120E-09
  5.750E-01  2.51783E-05 -4.13911E-11  2.75727E-08 -2.01352E-13  1.27518E-10  2.62733E-09  2.37160E-09
  6.000E-01  2.74153E-05 -1.06504E-09  2.55393E-08 -5.14974E-12  1.23250E-10  3.30922E-09  2.34832E-09
  6.250E-01  2.97475E-05 -1.90351E-09  2.36903E-08 -9.57898E-12  1.19091E-10  8.24107E-09  1.19641E-09
  6.500E-01  3.21749E-05 -2.59083E-09  2.20051E-08 -1.35553E-11  1.15046E-10  9.55448E-09  5.56015E-10
  6.750E-01  3.46974E-05 -3.15434E-09  2.04659E-08 -1.71359E-11  1.11114E-10  6.20425E-09  2.08018E-09
  7.000E-01  3.73152E-05 -3.61596E-09  1.90569E-08 -2.03694E-11  1.07297E-10  5.91575E-10  2.63900E-09
  7.250E-01  4.00281E-05 -3.99330E-09  1.77642E-08 -2.32972E-11  1.03591E-10  7.74919E-09  1.94362E-09
  7.500E-01  4.28362E-05 -4.30055E-09  1.65759E-08 -2.59540E-11  9.99955E-11  1.17078E-08  3.01632E-10
  7.750E-01  4.57395E-05 -4.54918E-09  1.54813E-08 -2.83689E-11  9.65059E-11  1.01895E-08  1.51839E-09
  8.000E-01  4.87380E-05 -4.74848E-09  1.44712E-08 -3.05664E-11  9.31198E-11  3.46660E-09  2.64684E-09
  8.250E-01  5.18317E-05 -4.90605E-09  1.35375E-08 -3.25673E-11  8.98343E-11  5.55342E-09  2.52875E-09
  8.500E-01  5.50205E-05 -5.02815E-09  1.26730E-08 -3.43889E-11  8.66465E-11  1.25665E-08  1.19652E-09
  8.750E-01  5.83045E-05 -5.11994E-09  1.18714E-08 -3.60464E-11  8.35538E-11  1.39180E-08  7.34274E-10
  9.000E-01  6.16838E-05 -5.18576E-09  1.11272E-08 -3.75528E-11  8.05538E-11  8.48672E-09  2.34925E-09
  9.250E-01  6.51582E-05 -5.22923E-09  1.04354E-08 -3.89194E-11  7.76441E-11  1.55575E-09  2.86853E-09
  9.500E-01  6.87277E-05 -5.25345E-09  9.79150E-09 -4.01564E-11  7.48228E-11  1.15786E-08  2.02341E-09
  9.750E-01  7.23925E-05 -5.26105E-09  9.19164E-09 -4.12728E-11  7.20876E-11  1.66180E-08  1.94549E-10
  1.000E+00  7.61524E-05 -5.25432E-09  8.63226E-09 -4.22770E-11  6.94367E-11  9.93769E-13  2.04416E-13
  1.100E+00  9.21439E-05 -5.11986E-09  6.74003E-09 -4.53153E-11  5.96384E-11  1.14194E-12  2.20139E-13
  1.200E+00  1.09658E-04 -4.87605E-09  5.28738E-09 -4.70818E-11  5.10386E-11  1.12780E-12  2.10461E-13
  1.300E+00  1.28695E-04 -4.57909E-09  4.16109E-09 -4.79003E-11  4.35140E-11  1.01763E-12  1.85399E-13
  1.400E+00  1.49255E-04 -4.26304E-09  3.28001E-09 -4.80259E-11  3.69387E-11  8.56126E-13  1.52765E-13
  1.500E+00  1.71338E-04 -3.94801E-09  2.58494E-09 -4.76554E-11  3.11900E-11  6.71758E-13  1.17736E-13
  1.600E+00  1.94942E-04 -3.64528E-09  2.03217E-09 -4.69363E-11  2.61544E-11  4.85520E-13  8.29592E-14
  1.700E+00  2.20070E-04 -3.36061E-09  1.58922E-09 -4.59770E-11  2.17310E-11  3.11205E-13  5.11434E-14
  1.800E+00  2.46720E-04 -3.09640E-09  1.23178E-09 -4.48557E-11  1.78330E-11  1.58132E-13  2.39585E-14
  1.900E+00  2.74892E-04 -2.85308E-09  9.41527E-10 -4.36286E-11  1.43867E-11  3.02317E-14  1.17058E-15
  2.000E+00  3.04586E-04 -2.63001E-09  7.04549E-10 -4.23357E-11  1.13305E-11  6.87614E-14  1.56302E-14
  2.100E+00  3.35803E-04 -2.42600E-09  5.10181E-10 -4.10058E-11  8.61275E-12  1.38545E-13  2.78372E-14
  2.200E+00  3.68542E-04 -2.23961E-09  3.50174E-10 -3.96594E-11  6.19033E-12  1.82206E-13  3.47662E-14
  2.300E+00  4.02802E-04 -2.06936E-09  2.18085E-10 -3.83117E-11  4.02697E-12  2.02051E-13  3.74362E-14
  2.400E+00  4.38585E-04 -1.91381E-09  1.08834E-10 -3.69737E-11  2.09199E-12  2.01336E-13  3.62303E-14
  2.500E+00  4.75889E-04 -1.77158E-09  1.83791E-11 -3.56533E-11  3.59204E-13  1.84677E-13  3.34820E-14
  2.600E+00  5.14715E-04 -1.64142E-09 -5.65246E-11 -3.43564E-11 -1.19386E-12  1.56772E-13  2.77323E-14
  2.700E+00  5.55063E-04 -1.52219E-09 -1.18501E-10 -3.30875E-11 -2.58665E-12  1.21194E-13  2.11335E-14
  2.800E+00  5.96931E-04 -1.41286E-09 -1.69687E-10 -3.18495E-11 -3.83613E-12  8.30116E-14  1.34684E-14
  2.900E+00  6.40321E-04 -1.31249E-09 -2.11837E-10 -3.06448E-11 -4.95716E-12  4.48405E-14  6.68131E-15
  3.000E+00  6.85233E-04 -1.22025E-09 -2.46398E-10 -2.94746E-11 -5.96282E-12  9.34574E-15  3.89385E-16
  3.100E+00  7.31665E-04 -1.13538E-09 -2.74567E-10 -2.83398E-11 -6.86470E-12  2.08318E-14  4.60998E-15
  3.200E+00  7.79618E-04 -1.05722E-09 -2.97343E-10 -2.72410E-11 -7.67307E-12  4.46963E-14  9.09111E-15
  3.300E+00  8.29092E-04 -9.85147E-10 -3.15562E-10 -2.61781E-11 -8.39710E-12  6.14596E-14  1.17334E-14
  3.400E+00  8.80086E-04 -9.18624E-10 -3.29925E-10 -2.51510E-11 -9.04494E-12  7.05901E-14  1.30413E-14
  3.500E+00  9.32601E-04 -8.57156E-10 -3.41022E-10 -2.41591E-11 -9.62392E-12  7.27994E-14  1.34214E-14
  3.600E+00  9.86636E-04 -8.00301E-10 -3.49351E-10 -2.32019E-11 -1.01406E-11  6.85493E-14  1.23103E-14
  3.700E+00  1.04219E-03 -7.47660E-10 -3.55334E-10 -2.22786E-11 -1.06008E-11  6.02894E-14  1.07939E-14
  3.800E+00  1.09927E-03 -6.98871E-10 -3.59329E-10 -2.13883E-11 -1.10098E-11  4.79399E-14  8.30316E-15
  3.900E+00  1.15786E-03 -6.53609E-10 -3.61640E-10 -2.05302E-11 -1.13725E-11  3.41284E-14  5.45020E-15
  4.000E+00  1.21797E-03 -6.11578E-10 -3.62528E-10 -1.97031E-11 -1.16930E-11  1.87264E-14  2.73104E-15
  4.100E+00  1.27961E-03 -5.72512E-10 -3.62212E-10 -1.89062E-11 -1.19752E-11  4.29324E-15  1.36648E-16
  4.200E+00  1.34276E-03 -5.36167E-10 -3.60882E-10 -1.81384E-11 -1.22226E-11  8.53443E-15  1.95101E-15
  4.300E+00  1.40743E-03 -5.02325E-10 -3.58699E-10 -1.73986E-11 -1.24384E-11  1.92462E-14  4.21427E-15
  4.400E+00  1.47362E-03 -4.70785E-10 -3.55802E-10 -1.66859E-11 -1.26254E-11  2.75450E-14  5.20303E-15
  4.500E+00  1.54133E-03 -4.41367E-10 -3.52309E-10 -1.59991E-11 -1.27861E-11  3.22605E-14  6.09848E-15
  4.600E+00  1.61056E-03 -4.13904E-10 -3.48323E-10 -1.53374E-11 -1.29229E-11  3.41392E-14  6.04619E-15
  4.700E+00  1.68131E-03 -3.88246E-10 -3.43930E-10 -1.46998E-11 -1.30379E-11  3.24820E-14  5.88921E-15
  4.800E+00  1.75357E-03 -3.64255E-10 -3.39206E-10 -1.40852E-11 -1.31330E-11  2.87365E-14  5.14610E-15
  4.900E+00  1.82735E-03 -3.41807E-10 -3.34215E-10 -1.34928E-11 -1.32100E-11  2.33408E-14  3.88990E-15
  5.000E+00  1.90265E-03 -3.20786E-10 -3.29012E-10 -1.29216E-11 -1.32704E-11  1.65883E-14  2.73103E-15
  5.100E+00  1.97947E-03 -3.01088E-10 -3.23645E-10 -1.23710E-11 -1.33157E-11  9.38103E-15  1.39872E-15
  5.200E+00  2.05780E-03 -2.82616E-10 -3.18155E-10 -1.18399E-11 -1.33472E-11  2.17646E-15  0.00000E+00
  5.300E+00  2.13765E-03 -2.65283E-10 -3.12576E-10 -1.13276E-11 -1.33660E-11  4.48613E-15  1.13127E-15
  5.400E+00  2.21902E-03 -2.49008E-10 -3.06939E-10 -1.08334E-11 -1.33734E-11  9.86023E-15  2.25542E-15
  5.500E+00  2.30190E-03 -2.33716E-10 -3.01270E-10 -1.03565E-11 -1.33702E-11  1.40738E-14  2.69667E-15
  5.600E+00  2.38630E-03 -2.19340E-10 -2.95589E-10 -9.89616E-12 -1.33573E-11  1.66402E-14  3.03224E-15
  5.700E+00  2.47222E-03 -2.05815E-10 -2.89917E-10 -9.45182E-12 -1.33357E-11  1.77263E-14  3.20289E-15
  5.800E+00  2.55965E-03 -1.93086E-10 -2.84268E-10 -9.02279E-12 -1.33060E-11  1.69221E-14  3.02371E-15
  5.900E+00  2.64859E-03 -1.81098E-10 -2.78657E-10 -8.60846E-12 -1.32691E-11  1.53810E-14  2.72510E-15
  6.000E+00  2.73905E-03 -1.69802E-10 -2.73095E-10 -8.20824E-12 -1.32254E-11  1.25405E-14  2.13143E-15
