 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  47,   projectile: electron
 #  Kinetic energy = 5.05000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)        ERRF         ERRG 
 #-----------------------------------------------------------------------------------------------------------------
  9.250E-01  6.51582E-05  2.53240E-09  8.10827E-09  1.85637E-11  5.94563E-11  1.64291E-08  1.09314E-09
  9.500E-01  6.87277E-05  2.27951E-09  7.75279E-09  1.71613E-11  5.83866E-11  5.82579E-09  3.35146E-09
  9.750E-01  7.23925E-05  2.05059E-09  7.41917E-09  1.58438E-11  5.73450E-11  1.03471E-08  2.97733E-09
  1.000E+00  7.61524E-05  1.84292E-09  7.10566E-09  1.46040E-11  5.63306E-11  2.51806E-11  8.07364E-12
  1.100E+00  9.21439E-05  1.18219E-09  6.02328E-09  1.03037E-11  5.25268E-11  1.22130E-11  1.66539E-11
  1.200E+00  1.09658E-04  7.19417E-10  5.15961E-09  6.83866E-12  4.90873E-11  6.14165E-13  1.61888E-11
  1.300E+00  1.28695E-04  3.88787E-10  4.45938E-09  4.00154E-12  4.59627E-11  7.03890E-12  1.12359E-11
  1.400E+00  1.49255E-04  1.49439E-10  3.88394E-09  1.65316E-12  4.31127E-11  1.00676E-11  5.16713E-12
  1.500E+00  1.71338E-04 -2.51134E-11  3.40563E-09 -3.04305E-13  4.05051E-11  9.16709E-12  7.71387E-14
  1.600E+00  1.94942E-04 -1.52714E-10  3.00416E-09 -1.94307E-12  3.81136E-11  5.80538E-12  3.07228E-12
  1.700E+00  2.20070E-04 -2.45775E-10  2.66433E-09 -3.31872E-12  3.59163E-11  1.64732E-12  4.18231E-12
  1.800E+00  2.46720E-04 -3.13147E-10  2.37454E-09 -4.47541E-12  3.38941E-11  1.90429E-12  3.69958E-12
  1.900E+00  2.74892E-04 -3.61265E-10  2.12577E-09 -5.44892E-12  3.20302E-11  3.98802E-12  2.31142E-12
  2.000E+00  3.04586E-04 -3.94868E-10  1.91094E-09 -6.26864E-12  3.03098E-11  4.36614E-12  7.00634E-13
  2.100E+00  3.35803E-04 -4.17492E-10  1.72437E-09 -6.95886E-12  2.87193E-11  3.33427E-12  6.17343E-13
  2.200E+00  3.68542E-04 -4.31792E-10  1.56152E-09 -7.53978E-12  2.72465E-11  1.51650E-12  1.36670E-12
  2.300E+00  4.02802E-04 -4.39776E-10  1.41869E-09 -8.02823E-12  2.58806E-11  3.77735E-13  1.50626E-12
  2.400E+00  4.38585E-04 -4.42972E-10  1.29286E-09 -8.43824E-12  2.46116E-11  1.76954E-12  1.17033E-12
  2.500E+00  4.75889E-04 -4.42547E-10  1.18154E-09 -8.78156E-12  2.34306E-11  2.34488E-12  5.83906E-13
  2.600E+00  5.14715E-04 -4.39396E-10  1.08266E-09 -9.06803E-12  2.23296E-11  2.09025E-12  2.09604E-14
  2.700E+00  5.55063E-04 -4.34210E-10  9.94522E-10 -9.30591E-12  2.13015E-11  1.23901E-12  4.68258E-13
  2.800E+00  5.96931E-04 -4.27518E-10  9.15669E-10 -9.50215E-12  2.03399E-11  1.57494E-13  6.70442E-13
  2.900E+00  6.40321E-04 -4.19732E-10  8.44895E-10 -9.66262E-12  1.94389E-11  7.85081E-13  6.28954E-13
  3.000E+00  6.85233E-04 -4.11170E-10  7.81172E-10 -9.79228E-12  1.85933E-11  1.32595E-12  4.13453E-13
  3.100E+00  7.31665E-04 -4.02078E-10  7.23631E-10 -9.89535E-12  1.77986E-11  1.36677E-12  1.25678E-13
  3.200E+00  7.79618E-04 -3.92647E-10  6.71526E-10 -9.97540E-12  1.70506E-11  9.76312E-13  1.36024E-13
